Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Clayton Kershaw,LAD,207.0,27.0,92%,6.5,21,5,.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,0.977,161
2,Roy Halladay,PHI,133.0,4.0,59%,8.9,19,6,.760,2.35,32,32,0,8,1,0,233.2,208,65,61,10,35,4,220,4,1,2,933,1.040,163
3,Cliff Lee,PHI,90.0,0.0,40%,8.6,17,8,.680,2.40,32,32,0,6,6,0,232.2,197,66,62,18,42,0,238,6,0,0,920,1.027,160
4,Ian Kennedy,ARI,76.0,1.0,34%,4.8,21,4,.840,2.88,33,33,0,1,1,0,222.0,186,73,71,19,55,0,198,9,1,11,900,1.086,137
5,Cole Hamels,PHI,17.0,0.0,8%,6.6,14,9,.609,2.79,32,31,0,3,0,0,216.0,169,68,67,19,44,2,194,5,3,3,850,0.986,137
6,Tim Lincecum,SFG,7.0,0.0,3%,4.2,13,14,.481,2.74,33,33,0,1,1,0,217.0,176,74,66,15,86,5,220,6,0,9,900,1.207,127
7,Yovani Gallardo,MIL,5.0,0.0,2%,2.3,17,10,.630,3.52,33,33,0,1,1,0,207.1,193,92,81,27,59,1,207,1,0,12,865,1.215,112
8,Matt Cain,SFG,3.0,0.0,1%,3.7,12,11,.522,2.88,33,33,0,1,0,0,221.2,177,82,71,9,63,5,179,9,0,4,907,1.083,121
9,John Axford,MIL,2.0,0.0,1%,2.3,2,2,.500,1.95,74,0,63,0,0,46,73.2,59,19,16,4,25,1,86,0,0,8,305,1.140,202
9,Craig Kimbrel,ATL,2.0,0.0,1%,2.4,4,3,.571,2.10,79,0,64,0,0,46,77.0,48,19,18,3,32,1,127,1,0,4,306,1.039,183
11,Madison Bumgarner,SFG,1.0,0.0,0%,2.4,13,13,.500,3.21,33,33,0,0,0,0,204.2,202,82,73,12,46,5,191,5,1,0,844,1.212,109
11,Ryan Vogelsong,SFG,1.0,0.0,0%,3.2,13,7,.650,2.71,30,28,1,1,1,0,179.2,164,62,54,15,61,6,139,5,1,1,752,1.252,129
