Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Kenley Jansen,Dodgers,13.63,1.44,9.45,0.52,41.40%,4.40%,37.10%,0.147,0.67,0.238,80.20%,46,36,59,1.83,1.44,0.39,2.41,1.6,3096
Andrew Miller,- - -,14.89,1.09,13.67,0.97,44.70%,3.30%,41.50%,0.159,0.69,0.256,95.70%,34,38,27,1.45,1.68,-0.23,1.18,1.1,6785
Dellin Betances,Yankees,15.53,3.45,4.5,0.62,42.10%,9.40%,32.80%,0.2,1.12,0.353,68.40%,73,40,41,3.08,1.78,1.31,1.75,1.94,6216
Clayton Kershaw,Dodgers,10.39,0.66,15.64,0.48,31.60%,2.00%,29.60%,0.183,0.72,0.254,80.00%,43,45,56,1.69,1.8,-0.11,2.28,2.41,2036
Zach Britton,Orioles,9.94,2.42,4.11,0.13,29.10%,7.10%,22.10%,0.161,0.84,0.23,89.70%,12,44,49,0.54,1.94,-1.4,2.09,1.74,3240
Addison Reed,Mets,10.55,1.51,7,0.46,29.90%,4.30%,25.70%,0.206,0.94,0.286,81.60%,50,48,70,1.97,1.97,0,2.89,2.56,10586
Kyle Barraclough,Marlins,14,5.45,2.57,0.12,36.90%,14.40%,22.60%,0.173,1.22,0.301,74.80%,69,53,69,2.85,2.11,0.73,2.83,3.06,13713
Seung Hwan Oh,Cardinals,11.64,2.03,5.72,0.56,32.90%,5.80%,27.20%,0.188,0.92,0.27,80.90%,47,52,70,1.92,2.13,-0.21,2.88,2.42,18719
Noah Syndergaard,Mets,10.68,2.11,5.07,0.54,29.30%,5.80%,23.50%,0.24,1.15,0.334,76.90%,65,56,65,2.6,2.29,0.31,2.67,2.95,11762
Jose Fernandez,Marlins,12.49,2.71,4.6,0.64,34.30%,7.50%,26.90%,0.22,1.12,0.332,76.60%,70,58,62,2.86,2.3,0.56,2.56,2.81,11530
Dan Otero,Indians,7.26,1.27,5.7,0.25,21.20%,3.70%,17.50%,0.208,0.91,0.26,81.70%,36,54,67,1.53,2.33,-0.8,2.88,2.66,7385
Christopher Devenski,Astros,8.64,1.66,5.2,0.33,25.50%,4.90%,20.60%,0.205,0.91,0.271,78.80%,52,55,85,2.16,2.34,-0.18,3.6,3.23,12763
Will Harris,Astros,9.7,2.11,4.6,0.42,27.10%,5.90%,21.20%,0.218,1.05,0.293,79.90%,55,55,66,2.25,2.35,-0.1,2.83,2.65,3192
Jeurys Familia,Mets,9.73,3.59,2.71,0.12,26.20%,9.70%,16.50%,0.218,1.21,0.304,74.80%,64,58,74,2.55,2.39,0.16,3.03,3.05,5114
Rich Hill,- - -,10.52,2.69,3.91,0.33,29.40%,7.50%,21.90%,0.193,1,0.275,79.20%,53,58,80,2.12,2.39,-0.27,3.36,3.29,4806
Mark Melancon,- - -,8.2,1.51,5.42,0.38,24.10%,4.40%,19.60%,0.202,0.9,0.259,80.60%,40,60,73,1.64,2.42,-0.78,2.99,2.83,4264
Kelvin Herrera,Royals,10.75,1.5,7.17,0.75,30.40%,4.20%,26.20%,0.213,0.96,0.29,77.00%,64,58,65,2.75,2.47,0.28,2.77,2.45,6033
Jim Johnson,Braves,9.46,2.78,3.4,0.42,25.60%,7.50%,18.10%,0.235,1.19,0.314,75.20%,74,68,76,3.06,2.71,0.35,3.11,3.03,3656
Matt Bush,Rangers,8.9,2.04,4.36,0.58,25.10%,5.80%,19.30%,0.193,0.94,0.245,76.80%,57,63,78,2.48,2.74,-0.26,3.33,3.16,1246
James Paxton,Mariners,8.7,1.79,4.88,0.67,22.90%,4.70%,18.20%,0.276,1.31,0.347,66.30%,94,67,79,3.79,2.8,0.99,3.35,3.54,11828
David Phelps,Marlins,11.84,3.95,3,0.62,32.40%,10.80%,21.60%,0.196,1.14,0.286,84.20%,56,70,76,2.28,2.8,-0.52,3.15,3.12,6316
Tyler Thornburg,Brewers,12.09,3.36,3.6,0.81,34.20%,9.50%,24.70%,0.161,0.94,0.229,81.30%,50,66,80,2.15,2.83,-0.68,3.28,2.74,10688
Liam Hendriks,Athletics,9.88,1.95,5.07,0.84,25.80%,5.10%,20.70%,0.265,1.28,0.344,70.10%,93,68,82,3.76,2.85,0.9,3.5,3.08,3548
Ken Giles,Astros,13.98,3.43,4.08,1.1,35.70%,8.70%,26.90%,0.232,1.29,0.349,72.60%,100,67,62,4.11,2.86,1.25,2.67,2.48,12910
A.J. Ramos,Marlins,10.27,4.92,2.09,0.14,26.30%,12.60%,13.70%,0.218,1.36,0.309,78.10%,69,73,104,2.81,2.9,-0.08,4.28,3.94,8350
Brad Brach,Orioles,10.48,2.85,3.68,0.8,29.60%,8.00%,21.50%,0.199,1.04,0.267,81.70%,48,66,78,2.05,2.92,-0.87,3.31,2.99,6627
Stephen Strasburg,Nationals,11.15,2.68,4.16,0.91,30.60%,7.40%,23.20%,0.216,1.1,0.294,73.60%,86,72,78,3.6,2.92,0.67,3.2,3.18,10131
Nate Jones,White Sox,10.19,1.91,5.33,0.89,29.20%,5.50%,23.70%,0.188,0.89,0.243,81.90%,54,67,70,2.29,2.93,-0.64,2.99,2.69,4696
Joseph Biagini,Blue Jays,8.25,2.53,3.26,0.4,21.00%,6.40%,14.60%,0.255,1.3,0.32,73.20%,72,68,87,3.06,2.95,0.1,3.71,3.45,13194
Johnny Cueto,Giants,8.11,1.84,4.4,0.61,22.50%,5.10%,17.40%,0.236,1.09,0.293,78.00%,71,76,83,2.79,2.96,-0.17,3.42,3.59,6893
Zach Duke,- - -,10.03,4.28,2.34,0.3,26.40%,11.20%,15.10%,0.213,1.26,0.297,83.10%,56,70,84,2.36,2.97,-0.61,3.52,3.44,3840
Lance McCullers,Astros,11.78,5,2.36,0.56,30.10%,12.80%,17.30%,0.261,1.54,0.383,81.40%,78,71,72,3.22,3,0.22,3.06,3.68,14120
Ryan Buchter,Padres,11.14,4.43,2.52,0.57,31.60%,12.60%,19.00%,0.159,1.03,0.227,76.60%,71,75,105,2.86,3.07,-0.21,4.33,3.59,9456
Brad Hand,Padres,11.18,3.63,3.08,0.81,30.50%,9.90%,20.60%,0.193,1.11,0.264,76.60%,73,75,81,2.92,3.07,-0.15,3.34,3.09,9111
Aaron Nola,Phillies,9.81,2.35,4.17,0.81,25.10%,6.00%,19.10%,0.259,1.31,0.334,60.60%,116,73,75,4.78,3.08,1.7,3.08,3.29,16149
Yu Darvish,Rangers,11.84,2.78,4.26,1.08,31.70%,7.50%,24.30%,0.212,1.12,0.29,73.30%,78,71,75,3.41,3.09,0.32,3.19,3.08,13074
Brad Ziegler,- - -,7.68,3.44,2.23,0.26,20.10%,9.00%,11.10%,0.258,1.37,0.325,80.50%,51,74,86,2.25,3.1,-0.85,3.58,3.43,7293
Shane Greene,Tigers,8.8,3.28,2.68,0.45,23.10%,8.60%,14.50%,0.252,1.33,0.327,56.40%,137,73,93,5.82,3.13,2.69,3.95,3.74,10756
Hunter Strickland,Giants,8.41,2.8,3,0.59,22.80%,7.60%,15.20%,0.218,1.13,0.274,76.50%,79,81,90,3.1,3.16,-0.06,3.7,3.54,7836
Julio Urias,Dodgers,9.82,3.62,2.71,0.58,25.00%,9.20%,15.80%,0.269,1.45,0.358,77.10%,86,78,89,3.39,3.17,0.22,3.69,3.88,14765
Alex Wood,Dodgers,9.85,2.98,3.3,0.75,25.90%,7.80%,18.00%,0.241,1.26,0.317,68.10%,94,78,80,3.73,3.18,0.55,3.29,3.48,13781
Roberto Osuna,Blue Jays,9.97,1.7,5.86,1.09,28.50%,4.90%,23.60%,0.203,0.93,0.256,82.50%,63,74,85,2.68,3.2,-0.52,3.6,2.87,13764
Kyle Hendricks,Cubs,8.05,2.08,3.86,0.71,22.80%,5.90%,16.90%,0.205,0.98,0.25,81.50%,51,78,87,2.13,3.2,-1.07,3.59,3.7,12049
Chris Rusin,Rockies,7.36,2.45,3,0.53,19.70%,6.60%,13.10%,0.253,1.25,0.308,71.30%,76,72,83,3.74,3.21,0.53,3.42,3.52,9895
Max Scherzer,Nationals,11.19,2.21,5.07,1.22,31.50%,6.20%,25.30%,0.196,0.97,0.255,81.70%,71,79,82,2.96,3.24,-0.28,3.37,3.05,3137
