Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,playerid
Andrew Miller,- - -,40.50%,53.50%,46.60%,45.60%,81.40%,64.90%,46.80%,61.80%,16.40%,6785
Nick Vincent,Mariners,39.90%,74.70%,56.30%,68.00%,80.80%,76.00%,47.00%,69.20%,13.30%,7555
Ken Giles,Astros,39.90%,68.40%,51.90%,39.30%,79.40%,61.60%,42.10%,64.30%,19.90%,12910
Jeurys Familia,Mets,38.40%,65.30%,49.70%,49.10%,85.90%,69.50%,42.10%,56.70%,14.90%,5114
Dan Otero,Indians,38.30%,65.20%,50.10%,77.70%,90.50%,85.00%,43.70%,66.50%,7.50%,7385
Brad Ziegler,- - -,37.90%,68.90%,49.40%,61.70%,88.80%,75.80%,37.20%,56.10%,11.70%,7293
Zach Britton,Orioles,37.00%,64.60%,47.60%,42.00%,83.10%,63.50%,38.60%,55.90%,17.20%,3240
Roberto Osuna,Blue Jays,36.90%,74.50%,55.20%,56.10%,80.70%,72.30%,48.70%,70.10%,15.10%,13764
Seung Hwan Oh,Cardinals,36.60%,74.10%,53.00%,53.60%,73.30%,65.70%,43.90%,66.50%,18.00%,18719
Noah Syndergaard,Mets,36.50%,66.90%,50.30%,53.90%,83.40%,71.60%,45.20%,63.80%,14.20%,11762
Masahiro Tanaka,Yankees,36.50%,68.80%,50.00%,66.00%,87.30%,78.30%,41.80%,64.50%,10.90%,15764
Erasmo Ramirez,Rays,36.40%,69.20%,50.60%,74.30%,87.80%,82.30%,43.30%,63.20%,8.80%,10314
Matt Andriese,Rays,36.40%,64.50%,49.10%,63.70%,89.30%,78.90%,45.30%,66.00%,10.30%,12022
Tony Watson,Pirates,36.20%,72.30%,52.50%,61.40%,84.10%,75.50%,45.10%,64.00%,12.80%,3132
Carlos Carrasco,Indians,36.10%,66.70%,49.20%,60.10%,86.70%,75.50%,42.60%,61.80%,12.00%,6632
Zack Greinke,Diamondbacks,35.90%,67.10%,48.90%,62.80%,90.50%,78.60%,41.50%,67.80%,10.40%,1943
Kelvin Herrera,Royals,35.70%,68.40%,50.90%,56.00%,78.60%,70.10%,46.40%,64.70%,15.20%,6033
Wade LeBlanc,- - -,35.70%,64.10%,48.50%,75.10%,85.00%,81.00%,45.10%,63.10%,9.20%,5221
Kenley Jansen,Dodgers,35.60%,74.90%,56.50%,53.60%,76.30%,69.60%,53.20%,68.10%,17.10%,3096
Mark Melancon,- - -,35.60%,65.30%,48.30%,62.50%,88.10%,77.30%,42.80%,65.90%,11.00%,4264
Nate Jones,White Sox,35.50%,69.60%,51.50%,49.50%,84.90%,71.90%,46.90%,63.90%,14.30%,4696
Zack Godley,Diamondbacks,35.50%,64.40%,47.00%,55.70%,90.30%,74.50%,39.60%,54.90%,11.80%,14862
Christopher Devenski,Astros,35.50%,66.20%,49.90%,61.50%,79.80%,72.90%,47.10%,64.50%,13.50%,12763
Michael Pineda,Yankees,35.40%,66.50%,48.60%,49.80%,86.20%,70.90%,42.40%,67.30%,14.10%,5372
Joseph Biagini,Blue Jays,35.40%,67.30%,48.60%,61.00%,87.70%,76.30%,41.40%,69.50%,11.50%,13194
