kernel,C,rmse
rbf,100.0,0.06303373527125344
poly,100.0,0.06339599077535134
poly,5.0,0.06339599077535134
rbf,5.0,0.06343813990553727
linear,0.1,0.06519557447330603
linear,5.0,0.06523426181314851
linear,1.0,0.06523426181314851
linear,0.5,0.06523426181314851
linear,100.0,0.06523426181314851
rbf,1.0,0.06598525354822478
rbf,0.5,0.06599243530993441
rbf,0.1,0.06599550640335436
poly,1.0,0.0678088342293737
poly,0.5,0.07086263285752932
sigmoid,5.0,0.07158446724966418
sigmoid,1.0,0.07166555754806249
sigmoid,0.5,0.07188253615647663
sigmoid,0.1,0.07267422160571801
poly,0.1,0.07380534718065442
sigmoid,100.0,0.07446897287469217
